ts,DMC Building 1 Data Quality Tests Discharge-Air-Temp-Sensor Copy,DMC Building 1 Data Quality Tests Discharge-Chilled-Water-Cool-Valve-Cmd Copy
2023-06-01T00:00:00+04:00 Dubai,16.575210571289062°C,0%
2023-06-01T00:05:00+04:00 Dubai,17.661882400512695°C,1.98%
2023-06-01T00:10:00+04:00 Dubai,15.1520414352417°C,34.01%
2023-06-01T00:15:00+04:00 Dubai,15.614696502685547°C,42.43%
2023-06-01T00:20:00+04:00 Dubai,15.14563274383545°C,40.89%
2023-06-01T00:25:00+04:00 Dubai,14.994953155517578°C,41.98%
2023-06-01T00:30:00+04:00 Dubai,14.994953155517578°C,44.52%
2023-06-01T00:35:00+04:00 Dubai,14.844996452331543°C,45.55%
2023-06-01T00:40:00+04:00 Dubai,14.543037414550781°C,44.14%
2023-06-01T00:45:00+04:00 Dubai,14.394144058227539°C,44.14%
2023-06-01T00:50:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T00:55:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:00:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:05:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:10:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:15:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:20:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:25:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:30:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:35:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:40:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:45:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:50:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T01:55:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T02:00:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T02:05:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T02:10:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T02:15:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T02:20:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T02:25:00+04:00 Dubai,14.245529174804688°C,44.14%
